name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom
"Lightning Bolt",1,"Instant",R,"ced","162",common,null,Owned,Non-foil,false,,,"","",-1,false
"Unholy Heat",1,"Instant",R,"mh2","145",common,null,Owned,Non-foil,false,,,"","",90667,false
"Abrade",2,"Instant",R,"2xm","114",common,null,Owned,Non-foil,false,,,"","",82262,false
"Desperate Ritual",2,"Instant - Arcane",R,"mma","110",uncommon,null,Owned,Non-foil,false,,,"","",48986,false
"Incinerate",2,"Instant",R,"m12","146",common,null,Owned,Non-foil,false,,,"","",41135,false
"Lightning Strike",2,"Instant",R,"m19","152",uncommon,null,Owned,Non-foil,false,,,"","",68465,false
"Searing Spear",2,"Instant",R,"m13","147",common,null,Owned,Non-foil,false,,,"","",45526,false
"Through the Breach",5,"Instant - Arcane",R,"uma","152",rare,null,Owned,Non-foil,false,,,"","",70377,false
"Fury",0,"Sorcery",R,"mh2","313",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Banefire",1,"Sorcery",R,"m19","130",rare,null,Owned,Non-foil,false,,,"","",68421,false
"Chain Lightning",1,"Sorcery",R,"ema","123",uncommon,null,Owned,Non-foil,false,,,"","",60669,false
"Faithless Looting",1,"Sorcery",R,"c21","168",common,null,Owned,Non-foil,false,,,"","",89437,false
"Firebolt",1,"Sorcery",R,"dd2","49",common,null,Owned,Non-foil,false,,,"","",31590,false
"Arc Trail",2,"Sorcery",R,"ddn","23",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Wheel of Fortune",3,"Sorcery",R,"30a","179",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Burning of Xinye",6,"Sorcery",R,"v14","2",mythic,null,Owned,Non-foil,false,,,"","",53919,false
"Wildfire",6,"Sorcery",R,"usg","228",rare,null,Owned,Non-foil,false,,,"","",12115,false
"Mox Ruby",0,"Artifact",R,"30a","261",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Underworld Breach",2,"Enchantment",R,"thb","161",rare,null,Owned,Non-foil,false,,,"","",79446,false
"Fable of the Mirror-Breaker",3,"Enchantment - Saga",R,"neo","141",rare,null,Owned,Non-foil,false,,,"","",97210,false
"Sulfuric Vortex",3,"Enchantment",R,"ema","150",rare,null,Owned,Non-foil,false,,,"","",60823,false
"Sneak Attack",4,"Enchantment",R,"ema","148",mythic,null,Owned,Non-foil,false,,,"","",60769,false
"Splinter Twin",4,"Enchantment - Aura",R,"roe","165",rare,null,Owned,Non-foil,false,,,"","",36426,false
"Den of the Bugbear",0,"Land",R,"afr","254",rare,Red,Owned,Non-foil,false,,,"","",92010,false
"Arbor Elf",1,"Creature - Elf Druid",G,"a25","160",common,null,Owned,Non-foil,false,,,"","",67234,false
"Birds of Paradise",1,"Creature - Bird",G,"sld","176",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Elvish Mystic",1,"Creature - Elf Druid",G,"tsr","360",special,null,Owned,Non-foil,false,,,"","",87097,false
"Experiment One",1,"Creature - Human Ooze",G,"gtc","119",uncommon,null,Owned,Non-foil,false,,,"","",47547,false
"Fyndhorn Elves",1,"Creature - Elf Druid",G,"ice","244",common,null,Owned,Non-foil,false,,,"","",-1,false
"Gilded Goose",1,"Creature - Bird",G,"eld","160",rare,null,Owned,Non-foil,false,,,"","",78458,false
"Hexdrinker",1,"Creature - Snake",G,"mh1","168",mythic,null,Owned,Non-foil,false,,,"","",72708,false
"Joraga Treespeaker",1,"Creature - Elf Druid",G,"roe","190",uncommon,null,Owned,Non-foil,false,,,"","",36408,false
"Kessig Prowler",1,"Creature - Werewolf Horror",G,"emn","163",uncommon,null,Owned,Non-foil,false,,,"","",61446,false
"Llanowar Elves",1,"Creature - Elf Druid",G,"m12","182",common,null,Owned,Non-foil,false,,,"","",41605,false
"Pelt Collector",1,"Creature - Elf Warrior",G,"grn","141",rare,null,Owned,Non-foil,false,,,"","",69655,false
"Fauna Shaman",2,"Creature - Elf Shaman",G,"uma","164",rare,null,Owned,Non-foil,false,,,"","",70401,false
"Lotus Cobra",2,"Creature - Snake",G,"zen","168",mythic,null,Owned,Non-foil,false,,,"","",34546,false
"Outland Liberator",2,"Creature - Human Werewolf",G,"mid","190",uncommon,null,Owned,Non-foil,false,,,"","",93370,false
"Rofellos, Llanowar Emissary",2,"Legendary Creature - Elf Druid",G,"uds","118",rare,null,Owned,Non-foil,false,,,"","",12913,false
"Sakura-Tribe Elder",2,"Creature - Snake Shaman",G,"c15","200",common,null,Owned,Non-foil,false,,,"","",-1,false
"Scavenging Ooze",2,"Creature - Ooze",G,"m21","318",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Tarmogoyf",2,"Creature - Lhurgoyf",G,"mm2","165",mythic,null,Owned,Non-foil,false,,,"","",57346,false
"Wall of Blossoms",2,"Creature - Plant Wall",G,"pca","81",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Wall of Roots",2,"Creature - Plant Wall",G,"arc","73",common,null,Owned,Non-foil,false,,,"","",-1,false
"Courser of Kruphix",3,"Enchantment Creature - Centaur",G,"a25","164",rare,null,Owned,Non-foil,false,,,"","",67242,false
"Eternal Witness",3,"Creature - Human Shaman",G,"mma","144",uncommon,null,Owned,Non-foil,false,,,"","",48946,false
"Nissa, Vastwood Seer",3,"Legendary Creature - Elf Scout",G,"v17","15",mythic,null,Owned,Non-foil,false,,,"","",66447,false
"Ramunap Excavator",3,"Creature - Naga Cleric",G,"cmr","433",rare,null,Owned,Non-foil,false,,,"","",85678,false
"Reclamation Sage",3,"Creature - Elf Shaman",G,"c18","159",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Tireless Tracker",3,"Creature - Human Scout",G,"soi","233",rare,null,Owned,Non-foil,false,,,"","",60320,false
"Magus of the Order",4,"Creature - Human Wizard",G,"cmr","242",rare,null,Owned,Non-foil,false,,,"","",85266,false
"Polukranos, World Eater",4,"Legendary Creature - Hydra",G,"ths","172",mythic,null,Owned,Non-foil,false,,,"","",50628,false
"Acidic Slime",5,"Creature - Ooze",G,"sld","134",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Deranged Hermit",5,"Creature - Elf",G,"ulg","101",rare,null,Owned,Non-foil,false,,,"","",12473,false
"Thragtusk",5,"Creature - Beast",G,"m13","193",rare,null,Owned,Non-foil,false,,,"","",45582,false
"Verdurous Gearhulk",5,"Artifact Creature - Construct",G,"kld","172",mythic,null,Owned,Non-foil,false,,,"","",62017,false
"Carnage Tyrant",6,"Creature - Dinosaur",G,"xln","179",mythic,null,Owned,Non-foil,false,,,"","",65376,false
"Old One Eye",6,"Legendary Creature - Tyranid",G,"40k","96",rare,null,Owned,Non-foil,false,,,"","",108664,false
"Primeval Titan",6,"Creature - Giant",G,"tsr","365",special,null,Owned,Non-foil,false,,,"","",87107,false
"Hornet Queen",7,"Creature - Insect",G,"m15","178",rare,null,Owned,Non-foil,false,,,"","",53364,false
"Titan of Industry",7,"Creature - Elemental",G,"snc","159",mythic,null,Owned,Non-foil,false,,,"","",98537,false
"Craterhoof Behemoth",8,"Creature - Beast",G,"sld","375",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Woodfall Primus",8,"Creature - Treefolk Shaman",G,"mma","174",rare,null,Owned,Non-foil,false,,,"","",48762,false
"Nissa, Voice of Zendikar",3,"Legendary Planeswalker - Nissa",G,"ddr","1",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Garruk Relentless",4,"Legendary Planeswalker - Garruk",G,"isd","181",mythic,null,Owned,Non-foil,false,,,"","",42744,false
"Garruk Wildspeaker",4,"Legendary Planeswalker - Garruk",G,"m11","175",mythic,null,Owned,Non-foil,false,,,"","",37132,false
"Green Sun's Zenith",1,"Sorcery",G,"ema","169",rare,null,Owned,Non-foil,false,,,"","",60681,false
"Pest Infestation",1,"Sorcery",G,"c21","65",rare,null,Owned,Non-foil,false,,,"","",89873,false
"Channel",2,"Sorcery",G,"30a","184",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Finale of Devastation",2,"Sorcery",G,"war","160",mythic,null,Owned,Non-foil,false,,,"","",71926,false
"Life from the Loam",2,"Sorcery",G,"rav","172",rare,null,Owned,Non-foil,false,,,"","",23376,false
"Rampant Growth",2,"Sorcery",G,"8ed","274",common,null,Owned,Non-foil,false,,,"","",19001,false
"Regrowth",2,"Sorcery",G,"sum","214",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Kodama's Reach",3,"Sorcery - Arcane",G,"uma","171",common,null,Owned,Non-foil,false,,,"","",70415,false
"Eureka",4,"Sorcery",G,"leg","185",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Natural Order",4,"Sorcery",G,"vis","114",rare,null,Owned,Non-foil,false,,,"","",7647,false
"Plow Under",5,"Sorcery",G,"8ed","272",rare,null,Owned,Non-foil,false,,,"","",19599,false
"Mox Emerald",0,"Artifact",G,"ced","262",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Birthing Pod",4,"Artifact",G,"nph","104",rare,null,Owned,Non-foil,false,,,"","",39796,false
"Exploration",1,"Enchantment",G,"cns","164",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Fastbond",1,"Enchantment",G,"30a","188",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Rancor",1,"Enchantment - Aura",G,"afc","167",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Oath of Druids",2,"Enchantment",G,"c16","159",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Survival of the Fittest",2,"Enchantment",G,"exo","129",rare,null,Owned,Non-foil,false,,,"","",10709,false
"Sylvan Library",2,"Enchantment",G,"cm1","17",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Heartbeat of Spring",3,"Enchantment",G,"chk","212",rare,null,Premium Owned,Non-foil,false,,,"Signed","",21077,false
"Boseiju, Who Endures",0,"Legendary Land",G,"neo","412",rare,Green,Owned,Non-foil,false,,,"","",-1,false
"Gaea's Cradle",0,"Legendary Land",G,"usg","321",rare,Green,Owned,Non-foil,false,,,"","",11867,false
"Treetop Village",0,"Land",G,"ulg","143",uncommon,Green,Owned,Non-foil,false,,,"","",12501,false
"Hangarback Walker",0,"Artifact Creature - Construct",,"ori","229",rare,null,Owned,Non-foil,false,,,"","",58128,false
"Stonecoil Serpent",0,"Artifact Creature - Snake",,"eld","235",rare,null,Owned,Non-foil,false,,,"","",78616,false
"Walking Ballista",0,"Artifact Creature - Construct",,"aer","181",rare,null,Owned,Non-foil,false,,,"","",62561,false
"Phyrexian Revoker",2,"Artifact Creature - Phyrexian Horror",,"brr","103",rare,null,Owned,Non-foil,false,,,"","",104372,false
"Metalworker",3,"Artifact Creature - Construct",,"uds","135",rare,null,Owned,Non-foil,false,,,"","",12921,false
"Solemn Simulacrum",4,"Artifact Creature - Golem",,"mrd","245",rare,null,Owned,Non-foil,false,,,"","",20209,false
"Wurmcoil Engine",6,"Artifact Creature - Phyrexian Wurm",,"psom","223★",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Myr Battlesphere",7,"Artifact Creature - Myr Construct",,"c13","247",rare,null,Owned,Non-foil,false,,,"","",51104,false
"Blightsteel Colossus",12,"Artifact Creature - Phyrexian Golem",,"prm","82844",mythic,null,Proxied,Non-foil,false,,,"","",82844,false
"Emrakul, the Aeons Torn",15,"Legendary Creature - Eldrazi",,"proe","4★",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Emrakul, the Promised End",13,"Legendary Creature - Eldrazi",,"emn","6",mythic,null,Owned,Non-foil,false,,,"","",61068,false
"Sundering Titan",8,"Artifact Creature - Golem",,"v10","13",mythic,null,Owned,Foil,false,,,"","",37653,false
"Ulamog, the Ceaseless Hunger",10,"Legendary Creature - Eldrazi",,"bfz","15",mythic,null,Owned,Non-foil,false,,,"","",58301,false
"Ulamog, the Infinite Gyre",11,"Legendary Creature - Eldrazi",,"2x2","577",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Karn, Scion of Urza",4,"Legendary Planeswalker - Karn",,"dom","1",mythic,null,Owned,Non-foil,false,,,"","",67467,false
"Karn Liberated",7,"Legendary Planeswalker - Karn",,"2xm","1",mythic,null,Owned,Non-foil,false,,,"","",82036,false
"Ugin, the Spirit Dragon",8,"Legendary Planeswalker - Ugin",,"m21","279",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Black Lotus",0,"Artifact",,"ced","233",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Chrome Mox",0,"Artifact",,"mrd","152",rare,null,Owned,Non-foil,false,,,"","",19831,false
"Engineered Explosives",0,"Artifact",,"2xm","252",rare,null,Owned,Non-foil,false,,,"","",82538,false
"Everflowing Chalice",0,"Artifact",,"wwk","123",uncommon,null,Owned,Non-foil,false,,,"","",35681,false
"Jeweled Amulet",0,"Artifact",,"ice","326",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Lion's Eye Diamond",0,"Artifact",,"mir","307",rare,null,Owned,Non-foil,false,,,"","",7103,false
"Lotus Bloom",0,"Artifact",,"plst","TSP-259",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Mana Crypt",0,"Artifact",,"ema","225",mythic,null,Owned,Non-foil,false,,,"","",60697,false
"Mox Diamond",0,"Artifact",,"sth","138",rare,null,Owned,Non-foil,false,,,"","",10325,false
"Bonesplitter",1,"Artifact - Equipment",,"mrd","146",common,null,Owned,Non-foil,false,,,"","",19829,false
"Mana Vault",1,"Artifact",,"5ed","388",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Pithing Needle",1,"Artifact",,"mid","257",rare,null,Owned,Non-foil,false,,,"","",93524,false
"Relic of Progenitus",1,"Artifact",,"hop","124",common,null,Owned,Non-foil,false,,,"","",44426,false
"Sensei's Divining Top",1,"Artifact",,"chk","268",uncommon,null,Owned,Non-foil,false,,,"","",21045,false
"Skullclamp",1,"Artifact - Equipment",,"c14","268",uncommon,null,Owned,Non-foil,false,,,"","",55225,false
"Sol Ring",1,"Artifact",,"v10","12",mythic,null,Owned,Non-foil,false,,,"","",37643,false
"Battle Bus",2,"Artifact - Vehicle",,"sld","446",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Grim Monolith",2,"Artifact",,"ulg","126",rare,null,Owned,Non-foil,false,,,"","",12551,false
"Lightning Greaves",2,"Artifact - Equipment",,"cma","220",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Mind Stone",2,"Artifact",,"afc","211",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Umezawa's Jitte",2,"Legendary Artifact - Equipment",,"bok","163",rare,null,Owned,Non-foil,false,,,"","",21603,false
"Winter Orb",2,"Artifact",,"5ed","408",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Basalt Monolith",3,"Artifact",,"sum","235",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Chromatic Lantern",3,"Artifact",,"rtr","226",rare,null,Owned,Non-foil,false,,,"","",46783,false
"Coalition Relic",3,"Artifact",,"a25","223",rare,null,Owned,Non-foil,false,,,"","",67360,false
"Crucible of Worlds",3,"Artifact",,"2x2","393",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Grafted Wargear",3,"Artifact - Equipment",,"cmr","312",uncommon,null,Owned,Non-foil,false,,,"","",85406,false
"Loxodon Warhammer",3,"Artifact - Equipment",,"c17","216",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Mimic Vat",3,"Artifact",,"som","175",rare,null,Owned,Non-foil,false,,,"","",38191,false
"Sword of Body and Mind",3,"Artifact - Equipment",,"som","208",mythic,null,Owned,Non-foil,false,,,"","",38279,false
"Sword of Feast and Famine",3,"Artifact - Equipment",,"mbs","138",mythic,null,Owned,Non-foil,false,,,"","",39549,false
"Sword of Fire and Ice",3,"Artifact - Equipment",,"2xm","297",mythic,null,Owned,Non-foil,false,,,"","",82628,false
"Sword of Light and Shadow",3,"Artifact - Equipment",,"dst","149",rare,null,Owned,Non-foil,false,,,"","",20539,false
"Sword of War and Peace",3,"Artifact - Equipment",,"2xm","300",mythic,null,Owned,Non-foil,false,,,"","",82634,false
"Tangle Wire",3,"Artifact",,"sld","694",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Worn Powerstone",3,"Artifact",,"c18","230",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Hedron Archive",4,"Artifact",,"bfz","223",uncommon,null,Owned,Non-foil,false,,,"","",58511,false
"Nevinyrral's Disk",4,"Artifact",,"v10","11",mythic,null,Owned,Foil,false,,,"","",37641,false
"Smokestack",4,"Artifact",,"usg","309",rare,null,Owned,Non-foil,false,,,"","",12131,false
"The Hexcore",4,"Artifact",,"sld","483",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Batterskull",5,"Artifact - Equipment",,"2xm","234",mythic,null,Owned,Non-foil,false,,,"","",82502,false
"Gilded Lotus",5,"Artifact",,"m13","206",rare,null,Owned,Non-foil,false,,,"","",45706,false
"Memory Jar",5,"Artifact",,"v10","8",mythic,null,Owned,Non-foil,false,,,"","",37629,false
"Azorius Signet",2,"Artifact",UW,"khc","97",uncommon,null,Owned,Non-foil,false,,,"","",88099,false
"Talisman of Progress",2,"Artifact",UW,"40k","258",uncommon,null,Owned,Non-foil,false,,,"","",108370,false
"Geist of Saint Traft",3,"Legendary Creature - Spirit Cleric",UW,"ddq","1",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Fractured Identity",5,"Sorcery",UW,"c17","37",rare,null,Owned,Non-foil,false,,,"","",73846,false
"Teferi, Hero of Dominaria",5,"Legendary Planeswalker - Teferi",UW,"dom","207",mythic,null,Owned,Non-foil,false,,,"","",67879,false
"Yorion, Sky Nomad",5,"Legendary Creature - Bird Serpent",UW,"iko","232",rare,null,Owned,Non-foil,false,,,"","",80473,false
"Baleful Strix",2,"Artifact Creature - Bird",BU,"e01","80",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Dimir Signet",2,"Artifact",BU,"arc","104",common,null,Owned,Non-foil,false,,,"","",-1,false
"Talisman of Dominance",2,"Artifact",BU,"clb","877",uncommon,null,Owned,Non-foil,false,,,"","",101304,false
"Kaito Shizuki",3,"Legendary Planeswalker - Kaito",BU,"neo","226",mythic,null,Owned,Non-foil,false,,,"","",97400,false
"Shadowmage Infiltrator",3,"Creature - Human Wizard",BU,"tsb","99",special,null,Owned,Non-foil,false,,,"","",26173,false
"Notion Thief",4,"Creature - Human Rogue",BU,"dgm","88",rare,null,Owned,Non-foil,false,,,"","",48332,false
"Dreadbore",2,"Sorcery",BR,"e01","83",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Rakdos Signet",2,"Artifact",BR,"sld","289",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Talisman of Indulgence",2,"Artifact",BR,"e01","91",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Daretti, Ingenious Iconoclast",3,"Legendary Planeswalker - Daretti",BR,"med","GR3",mythic,null,Owned,Non-foil,false,,,"","",69969,false
"Kolaghan's Command",3,"Instant",BR,"2x2","381",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Ob Nixilis, the Adversary",3,"Legendary Planeswalker - Nixilis",BR,"snc","284",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Gruul Signet",2,"Artifact",GR,"sld","288",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Manamorphose",2,"Instant",GR,"shm","211",common,null,Owned,Non-foil,false,,,"","",29653,false
"Mawloc",2,"Creature - Tyranid",GR,"40k","133",rare,null,Owned,Non-foil,false,,,"","",108738,false
"Talisman of Impulse",2,"Artifact",GR,"sld","1055",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Wrenn and Six",2,"Legendary Planeswalker - Wrenn",RG,"mh1","217",mythic,null,Owned,Non-foil,false,,,"","",72806,false
"Huntmaster of the Fells",4,"Creature - Human Werewolf",GR,"v17","11",mythic,null,Owned,Non-foil,false,,,"","",66431,false
"Selesnya Signet",2,"Artifact",GW,"cmd","258",common,null,Owned,Non-foil,false,,,"","",40744,false
"Talisman of Unity",2,"Artifact",GW,"sld","1056",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Kitchen Finks",3,"Creature - Ouphe",GW,"shm","229",uncommon,null,Owned,Non-foil,false,,,"","",29329,false
"Knight of Autumn",3,"Creature - Dryad Knight",GW,"grn","183",rare,null,Owned,Non-foil,false,,,"","",69739,false
"Knight of the Reliquary",3,"Creature - Human Knight",GW,"ima","203",rare,null,Owned,Non-foil,false,,,"","",66285,false
"Mirari's Wake",5,"Enchantment",GW,"c17","181",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Damn",2,"Sorcery",BW,"mh2","396",rare,null,Owned,Non-foil,false,,,"","",91065,false
"Orzhov Signet",2,"Artifact",BW,"ncc","375",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Talisman of Hierarchy",2,"Artifact",BW,"clb","878",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Tidehollow Sculler",2,"Artifact Creature - Zombie",BW,"mma","184",uncommon,null,Owned,Non-foil,false,,,"","",48808,false
"Lingering Souls",3,"Sorcery",BW,"tsr","296",special,null,Owned,Non-foil,false,,,"","",86969,false
"Vindicate",3,"Sorcery",BW,"a25","219",rare,null,Owned,Non-foil,false,,,"","",67352,false
"Goblin Electromancer",2,"Creature - Goblin Wizard",RU,"grn","174",common,null,Owned,Non-foil,false,,,"","",69721,false
"Izzet Charm",2,"Instant",RU,"rtr","172",uncommon,null,Owned,Non-foil,false,,,"","",46433,false
"Izzet Signet",2,"Artifact",RU,"c20","243",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Talisman of Creativity",2,"Artifact",RU,"c21","269",uncommon,null,Owned,Non-foil,false,,,"","",89643,false
"Dack Fayden",3,"Legendary Planeswalker - Dack",UR,"cns","42",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Fire // Ice",4,"Instant",RU,"mh2","290",rare,null,Owned,Non-foil,false,,,"","",91007,false
"Deathrite Shaman",1,"Creature - Elf Shaman",BG,"rtr","213",rare,null,Owned,Non-foil,false,,,"","",46777,false
"Abrupt Decay",2,"Instant",BG,"gk1","57",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Golgari Signet",2,"Artifact",BG,"cm2","192",common,null,Owned,Non-foil,false,,,"","",-1,false
"Maelstrom Pulse",3,"Sorcery",BG,"mma","180",rare,null,Owned,Non-foil,false,,,"","",48842,false
"Pernicious Deed",3,"Enchantment",BG,"cns","191",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Vraska, Golgari Queen",4,"Legendary Planeswalker - Vraska",BG,"med","GR8",mythic,null,Owned,Non-foil,false,,,"","",69977,false
"Figure of Destiny",1,"Creature - Kithkin",RW,"eve","139",rare,null,Owned,Non-foil,false,,,"","",30238,false
"Boros Signet",2,"Artifact",RW,"sld","291",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Lightning Helix",2,"Instant",RW,"rav","213",uncommon,null,Owned,Non-foil,false,,,"","",23154,false
"Talisman of Conviction",2,"Artifact",RW,"mh1","230",uncommon,null,Owned,Non-foil,false,,,"","",72832,false
"Ajani Vengeant",4,"Legendary Planeswalker - Ajani",RW,"ala","154",mythic,null,Owned,Non-foil,false,,,"","",30923,false
"Nahiri, the Harbinger",4,"Legendary Planeswalker - Nahiri",RW,"med","WS7",mythic,null,Owned,Non-foil,false,,,"","",72196,false
"Hydroid Krasis",2,"Creature - Jellyfish Hydra Beast",GU,"2x2","228",rare,null,Owned,Non-foil,false,,,"","",101940,false
"Edric, Spymaster of Trest",3,"Legendary Creature - Elf Rogue",GU,"cns","187",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Oko, Thief of Crowns",3,"Legendary Planeswalker - Oko",GU,"eld","197",mythic,null,Owned,Non-foil,false,,,"","",78538,false
"Uro, Titan of Nature's Wrath",3,"Legendary Creature - Elder Giant",GU,"plst","THB-229",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Mystic Snake",4,"Creature - Snake",GU,"a25","208",rare,null,Owned,Non-foil,false,,,"","",67330,false
"Tamiyo, Compleated Sage",5,"Legendary Planeswalker - Tamiyo",GU,"neo","238",mythic,null,Owned,Non-foil,false,,,"","",97426,false
"Noble Hierarch",1,"Creature - Human Druid",GUW,"2xm","177",rare,null,Owned,Non-foil,false,,,"","",82388,false
"Sphinx of the Steel Wind",8,"Artifact Creature - Sphinx",BUW,"ema","207",mythic,null,Owned,Non-foil,false,,,"","",60621,false
"Nicol Bolas, the Ravager",4,"Legendary Creature - Elder Dragon",BRU,"m19","218",mythic,null,Owned,Non-foil,false,,,"","",68597,false
"Ignoble Hierarch",1,"Creature - Goblin Shaman",BGR,"mh2","414",rare,null,Owned,Non-foil,false,,,"","",91101,false
"Wild Nacatl",1,"Creature - Cat Warrior",WRG,"ddh","4",common,null,Owned,Non-foil,false,,,"","",42086,false
"Alesha, Who Smiles at Death",3,"Legendary Creature - Human Warrior",BRW,"c20","143",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Yasova Dragonclaw",3,"Legendary Creature - Human Warrior",GRU,"frf","148",rare,null,Owned,Non-foil,false,,,"","",55430,false
"Warden of the First Tree",1,"Creature - Human",BGW,"frf","143",mythic,null,Owned,Non-foil,false,,,"","",55442,false
"Soulfire Grand Master",2,"Creature - Human Monk",RUW,"frf","27",mythic,null,Owned,Non-foil,false,,,"","",55614,false
"Tasigur, the Golden Fang",6,"Legendary Creature - Human Shaman",BGU,"tsr","333",special,null,Owned,Non-foil,false,,,"","",87043,false
"Najeela, the Blade-Blossom",3,"Legendary Creature - Human Warrior",BGRUW,"bbd","62",mythic,null,Owned,Non-foil,false,,,"","",68852,false
"Omnath, Locus of Creation",4,"Legendary Creature - Elemental",WUBRG,"znr","232",mythic,null,Owned,Non-foil,false,,,"","",83459,false
"Golos, Tireless Pilgrim",5,"Legendary Artifact Creature - Scout",BGRUW,"m20","226",rare,null,Owned,Non-foil,false,,,"","",73351,false
"Niv-Mizzet Reborn",5,"Legendary Creature - Dragon Avatar",BGRUW,"war","208",mythic,null,Owned,Non-foil,false,,,"","",72022,false
"Progenitus",10,"Legendary Creature - Hydra Avatar",BGRUW,"v11","9",mythic,null,Owned,Non-foil,false,,,"","",42251,false
"Celestial Colonnade",0,"Land",WU,"pwwk","133",rare,null,Owned,Foil,false,,,"","",-1,false
"Flooded Strand",0,"Land",WU,"ktk","233",rare,null,Owned,Non-foil,false,,,"","",54194,false
"Hallowed Fountain",0,"Land - Plains Island",WU,"rtr","241",rare,null,Owned,Non-foil,false,,,"","",46503,false
"Irrigated Farmland",0,"Land - Plains Island",WU,"akh","245",rare,null,Proxied,Non-foil,false,,,"","",64152,false
"Tundra",0,"Land - Plains Island",WU,"vma","322",rare,null,Proxied,Non-foil,false,,,"","",53095,false
"Creeping Tar Pit",0,"Land",BU,"wwk","134",rare,null,Owned,Non-foil,false,,,"","",35657,false
"Polluted Delta",0,"Land",UB,"ons","321",rare,null,Owned,Non-foil,false,,,"","",18247,false
"Underground River",0,"Land",BU,"6ed","330",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Underground Sea",0,"Land - Island Swamp",BU,"sum","290",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Watery Grave",0,"Land - Island Swamp",BU,"rav","286",rare,null,Owned,Non-foil,false,,,"","",23586,false
"Badlands",0,"Land - Swamp Mountain",BR,"sum","282",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Blackcleave Cliffs",0,"Land",BR,"som","224",rare,null,Owned,Non-foil,false,,,"","",38293,false
"Blood Crypt",0,"Land - Swamp Mountain",BR,"unf","279",rare,null,Owned,Non-foil,false,,,"","",115516,false
"Bloodstained Mire",0,"Land",BR,"ons","313",rare,null,Owned,Non-foil,false,,,"","",18249,false
